,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
573,해남 미황사 주차장,04,전라남도 해남군 송지면 미황사길 164,34.38354300,126.57484940,200,동시,46,,,Y,2,2
574,해남교도소,04,전라남도 해남군 옥천면 영신리 191,34.57746156,126.64479819,200,동시,46,,,Y,9,9
575,해남교도소,04,전라남도 해남군 옥천면 영신리 191,34.57746156,126.64479819,200,동시,46,,,Y,9,9
576,문내공영주차장,04,전라남도 해남군 문내면 동외리 884-2,34.59595880,126.3118442,200,동시,46,,,Y,2,2
577,문내공영주차장,04,전라남도 해남군 문내면 동외리 884-2,34.59595880,126.3118442,200,동시,46,,,Y,2,2
578,고인돌권역 커뮤니티센터,04,전라남도 화순군 도곡면 월곡리 507-1,34.9858936,126.9117795,200,동시,46,,,Y,2,2
579,고인돌권역 커뮤니티센터,04,전라남도 화순군 도곡면 월곡리 507-1,34.9858936,126.9117795,200,동시,46,,,Y,2,2
580,능주면 행정복지센터,04,전라남도 화순군 능주면 죽수길 73,34.989645,126.9576122,200,동시,46,,,Y,2,2
581,능주면 행정복지센터,04,전라남도 화순군 능주면 죽수길 73,34.989645,126.9576122,200,동시,46,,,Y,2,2
582,생물의약산업단지,04,전라남도 화순군 화순읍 감도리 889,35.03206,126.970278,200,동시,46,,,Y,2,2
583,생물의약산업단지,04,전라남도 화순군 화순읍 감도리 889,35.03206,126.970278,200,동시,46,,,Y,2,2
584,화순군 보건소,04,전라남도 화순군 화순읍 쌍충로 62,35.0571101,126.9823618,200,동시,46,,,Y,2,2
585,화순군 보건소,04,전라남도 화순군 화순읍 쌍충로 62,35.0571101,126.9823618,200,동시,46,,,Y,2,2
586,전라남도지방공무원교육원(신청사),04,전라남도 강진군 도암면 만덕리 369,34.575525,126.745265,200,동시,46,,,Y,2,2
587,전라남도지방공무원교육원(신청사),04,전라남도 강진군 도암면 만덕리 369,34.575525,126.745265,200,동시,46,,,Y,2,2
588,전라남도지방공무원교육원(신청사),04,전라남도 강진군 도암면 만덕리 369,34.575525,126.745265,200,동시,46,,,Y,2,2
589,전라남도지방공무원교육원(신청사),04,전라남도 강진군 도암면 만덕리 369,34.575525,126.745265,200,동시,46,,,Y,2,2
590,섬진강 기차마을주차장1,04,전라남도 곡성군 오곡면 오지리 1220-11,35.28115120,127.30346370,200,동시,46,,,Y,2,2
591,섬진강 기차마을주차장1,04,전라남도 곡성군 오곡면 오지리 1220-11,35.28115120,127.30346370,200,동시,46,,,Y,9,9
592,섬진강 기차마을주차장1,04,전라남도 곡성군 오곡면 오지리 1220-11,35.28115120,127.30346370,200,동시,46,,,Y,2,2
593,섬진강 기차마을주차장1,04,전라남도 곡성군 오곡면 오지리 1220-11,35.28115120,127.30346370,200,동시,46,,,Y,2,2
594,다도해해상국립공원 여수 주차장,04,전라남도 여수시 돌산읍 율림리 35-1,34.6000031,127.8014499,200,동시,46,,,Y,2,2
595,다도해해상국립공원 여수 주차장,04,전라남도 여수시 돌산읍 율림리 35-1,34.6000031,127.8014499,200,동시,46,,,Y,2,2
596,다도해해상국립공원 여수 주차장,04,전라남도 여수시 돌산읍 율림리 35-1,34.6000031,127.8014499,200,동시,46,,,Y,2,2
597,다도해해상국립공원 여수 주차장,04,전라남도 여수시 돌산읍 율림리 35-1,34.6000031,127.8014499,200,동시,46,,,Y,2,2
598,신지명사십리해수욕장,04,전라남도 완도군 신지면 신리 796-3,34.32890260,126.80968670,200,동시,46,,,Y,2,2
599,신지명사십리해수욕장,04,전라남도 완도군 신지면 신리 796-3,34.32890260,126.80968670,200,동시,46,,,Y,9,9
600,신지명사십리해수욕장,04,전라남도 완도군 신지면 신리 796-3,34.32890260,126.80968670,200,동시,46,,,Y,2,2
601,신지명사십리해수욕장,04,전라남도 완도군 신지면 신리 796-3,34.32890260,126.80968670,200,동시,46,,,Y,2,2
602,보성공설운동장 ,04,전라남도 보성군 용문길18,34.772857,127.094177,100,단독,46,,,Y,9,9
603,보성공설운동장 ,04,전라남도 보성군 용문길18,34.772857,127.094177,100,단독,46,,,Y,9,9
604,순천국토관리사무소 보성출장소 ,04,전라남도 보성군 미력면 가평길44,34.776597,127.102452,100,단독,46,,,Y,9,9
605,순천국토관리사무소 보성출장소 ,04,전라남도 보성군 미력면 가평길44,34.776597,127.102452,100,단독,46,,,Y,9,9
606,3함대 관사 주차장 ,04,전라남도 영암군 삼호읍 공항로21,34.764501,126.392032,100,단독,46,,,Y,2,2
607,3함대 관사 주차장 ,04,전라남도 영암군 삼호읍 공항로21,34.764501,126.392032,100,단독,46,,,Y,9,9
608,장흥교도소 ,04,전라남도 장흥군 용산면 장흥대로2667,34.6280896,126.9016349,100,단독,46,,,Y,2,2
609,장흥교도소 ,04,전라남도 장흥군 용산면 장흥대로2667,34.6280896,126.9016349,100,단독,46,,,Y,9,9
610,율포해수녹차센터,04,전라남도 보성군 회천면 우암길21,34.670903,127.089034,100,단독,46,,,Y,9,9
611,율포해수녹차센터,04,전라남도 보성군 회천면 우암길21,34.670903,127.089034,100,단독,46,,,Y,2,2
612,율포해수녹차센터,04,전라남도 보성군 회천면 우암길21,34.670903,127.089034,100,단독,46,,,Y,9,9
613,율포해수녹차센터,04,전라남도 보성군 회천면 우암길21,34.670903,127.089034,100,단독,46,,,Y,9,9
614,해제면 주민다목적센터,04,전라남도 무안군 해제면 해제중앙로 13,35.112096,126.2947114,200,동시,46,,,Y,2,2
615,해제면 주민다목적센터,04,전라남도 무안군 해제면 해제중앙로 13,35.112096,126.2947114,200,동시,46,,,Y,2,2
616,송계어촌체험마을,04,전라남도 무안군 해제면 만송로 916,35.1529695,126.3400897,200,동시,46,,,Y,2,2
617,송계어촌체험마을,04,전라남도 무안군 해제면 만송로 916,35.1529695,126.3400897,200,동시,46,,,Y,2,2
618,한국콘텐츠진흥원,04,전라남도 나주시 교육길 35,35.019772968,126.78169546,100,동시,46,,,Y,2,2
619,한국콘텐츠진흥원,04,전라남도 나주시 교육길 35,35.019772968,126.78169546,100,동시,46,,,Y,2,2
620,한국콘텐츠진흥원,02,전라남도 나주시 교육길 35,35.019772968,126.78169546,7,단독,46,,,Y,2,2
621,한국콘텐츠진흥원,02,전라남도 나주시 교육길 35,35.019772968,126.78169546,7,단독,46,,,Y,2,2
622,한국콘텐츠진흥원,02,전라남도 나주시 교육길 35,35.019772968,126.78169546,7,단독,46,,,Y,2,2
623,한국콘텐츠진흥원,02,전라남도 나주시 교육길 35,35.019772968,126.78169546,7,단독,46,,,Y,2,2
624,한국콘텐츠진흥원,02,전라남도 나주시 교육길 35,35.019772968,126.78169546,7,단독,46,,,Y,2,2
625,완도군 보길면사무소 주차장,04,전라남도 완도군 보길면 청별길 26-1,34.169104,126.567626,100,동시,46,,,Y,1,1
626,완도군 보길면사무소 주차장,04,전라남도 완도군 보길면 청별길 26-1,34.169104,126.567626,100,동시,46,,,Y,1,1
627,완도군 보길면사무소 주차장,02,전라남도 완도군 보길면 청별길 26-1,34.169104,126.567626,7,단독,46,,,Y,1,1
628,고흥 드론센터,06,전라남도 고흥군 고흥읍 고소리 1192,34.609558899,127.21063898,50,단독,46,,,N,9,9
629,광주 과학수사연구소,04,전라남도 장성군 남면 나노산단5로 60-15,35.236516,126.831760,50,동시,46,,,Y,4,4
630,광주 과학수사연구소,04,전라남도 장성군 남면 나노산단5로 60-15,35.236516,126.831760,50,동시,46,,,Y,2,2
631,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278239051,126.50533059,7,단독,46,,,Y,9,9
632,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278239051,126.50533059,7,단독,46,,,Y,9,9
633,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278239051,126.50533059,7,단독,46,,,Y,9,9
634,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278239051,126.50533059,7,단독,46,,,Y,9,9
635,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278239051,126.50533059,7,단독,46,,,Y,9,9
636,영광 대신지구1주차장,02,전라남도 영광군 영광읍 신남로 163,35.276076768,126.49992671,7,단독,46,,,Y,9,9
637,영광 대신지구1주차장,02,전라남도 영광군 영광읍 신남로 163,35.276076768,126.49992671,7,단독,46,,,Y,9,9
638,영광 대신지구1주차장,02,전라남도 영광군 영광읍 신남로 163,35.276076768,126.49992671,7,단독,46,,,Y,9,9
639,영광 대신지구2주차장,02,전라남도 영광군 영광읍 신하리 831-1,35.274136129,126.50060846,7,단독,46,,,Y,9,9
640,영광 대신지구2주차장,02,전라남도 영광군 영광읍 신하리 831-1,35.274136129,126.50060846,7,단독,46,,,Y,9,9
641,영광 매일시장,02,전라남도 영광군 영광읍 도동리 265,35.275903086,126.51279779,7,단독,46,,,Y,9,9
642,영광 매일시장,02,전라남도 영광군 영광읍 도동리 265,35.275903086,126.51279779,7,단독,46,,,Y,9,9
643,영광 매일시장,02,전라남도 영광군 영광읍 도동리 265,35.275903086,126.51279779,7,단독,46,,,Y,9,9
644,영광 청년회의소,02,전라남도 영광군 영광읍 신남로 256,35.275332015,126.50985204,7,단독,46,,,Y,9,9
645,영광 청년회의소,02,전라남도 영광군 영광읍 신남로 256,35.275332015,126.50985204,7,단독,46,,,Y,9,9
646,구(우시장) 주차광장,02,전라남도 영광군 영광읍 천년로 1459,35.273512152,126.50303295,7,단독,46,,,Y,2,2
647,구(우시장) 주차광장,02,전라남도 영광군 영광읍 천년로 1459,35.273512152,126.50303295,7,단독,46,,,Y,2,2
648,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278125190,126.50534132,7,단독,46,,,Y,2,2
649,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278125190,126.50534132,7,단독,46,,,Y,2,2
650,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278125190,126.50534132,7,단독,46,,,Y,2,2
651,영광 만남의광장,02,전라남도 영광군 영광읍 백학리 359-9,35.278125190,126.50534132,7,단독,46,,,Y,2,2
