,충전소명,충전소ID,충전기ID,충전타입,주소,위도,경도,상태갱신일시,최종충전시작,최종충전종료,충전중시작,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(1분),0 : 1
2143,브리즈스테이2차,JE010202,01,02,제주특별자치도 제주시 신비마을길 57-17,33.444912,126.482301,20220625213002,20220625185259,20220625195938,20220625185259,,,50,,,Y,3,3
2144,브리즈스테이2차,JE010202,02,02,제주특별자치도 제주시 신비마을길 57-17,33.444912,126.482301,20220625223301,20220625194656,20220625223026,20220625194656,,,50,,,Y,2,2
2145,브리즈스테이1차,JE010203,01,02,제주특별자치도 제주시 신비마을길 57-13,33.444958,126.482296,20220625130601,20220624201643,20220625090156,20220624201643,,,50,,,Y,3,3
2146,브리즈스테이1차,JE010203,02,02,제주특별자치도 제주시 신비마을길 57-13,33.444958,126.482296,20220625175702,20220625105701,20220625175642,20220625105701,,,50,,,Y,2,2
2147,폴라리스빌3차,JE010204,01,02,제주특별자치도 제주시 월산남길 60-3,33.468160,126.466577,20220625154802,20220624172504,20220624202233,20220624172504,,,50,,,Y,3,3
2148,더마루신엄,JE010205,01,02,제주특별자치도 제주시 애월읍 중엄1길 44,33.475875,126.371198,20220623011804,20220617195428,20220618081629,20220617195428,,,50,,,Y,2,2
2149,살레안의고깃,JE010206,01,02,제주특별자치도 제주시 월산남길 110,33.465293,126.469243,20220626000317,20220624200718,20220625085959,20220624200718,,,50,,,Y,2,2
2150,비슬휴림,JE010207,01,02,제주특별자치도 제주시 한림읍 하운당길 32,33.390017,126.269104,20220624183901,20220624142150,20220624183726,20220624142150,,,50,,,Y,2,2
2151,영평휴먼빌,JE010208,01,02,제주특별자치도 제주시 기와4길 20,33.481648,126.559300,20220624211501,20220624180545,20220624211253,20220624180545,,,50,,,Y,2,2
2152,영평휴먼빌,JE010208,02,02,제주특별자치도 제주시 기와4길 20,33.481648,126.559300,20220624201201,20220624151250,20220624201048,20220624151250,,,50,,,Y,2,2
2153,하소로커피,JE010209,01,02,제주특별자치도 제주시 한경면 불그못로 72,33.295567,126.217988,20220624194202,20220624155510,20220624161951,20220624155510,,,50,,,Y,3,3
2154,주식회사 제주도한달살기,JE010210,01,02,제주특별자치도 제주시 조천읍 조천9길 10,33.536810,126.636875,20220625223004,20220625164242,20220625191945,20220625164242,,,50,,,Y,3,3
2155,위산엘리시움,JE010211,01,02,제주특별자치도 제주시 조천읍 북선로 22,33.536102,126.681533,20220622221201,20220620163534,20220621091723,20220620163534,,,50,,,Y,3,3
2156,회성푸르니,JE010212,01,02,제주특별자치도 제주시 노형로 66-4,33.462537,126.453622,20220625080902,20220624142931,20220625080804,20220624142931,,,50,,,Y,2,2
2157,회성푸르니,JE010212,02,02,제주특별자치도 제주시 노형로 66-4,33.462537,126.453622,20220623191802,20220623172656,20220623191520,20220623172656,,,50,,,Y,2,2
2158,회성푸르니,JE010212,03,02,제주특별자치도 제주시 노형로 66-4,33.462537,126.453622,20220622051802,20220527032022,20220527105114,20220527032022,,,50,,,Y,2,2
2159,라산푸르니,JE010213,01,02,제주특별자치도 제주시 노형로 72-1,33.461359,126.454569,20220624193002,20220623144123,20220623170943,20220623144123,,,50,,,Y,3,3
2160,라산푸르니,JE010213,02,02,제주특별자치도 제주시 노형로 72-1,33.461359,126.454569,20220624221802,20220622195949,20220623065957,20220622195949,,,50,,,Y,3,3
2161,르시엘아파트,JE010214,01,02,제주특별자치도 제주시 애월읍 애월해안로 554-16,33.476824,126.362528,20220624213901,20220623154347,20220623160340,20220623154347,,,50,,,Y,3,3
2162,르시엘아파트,JE010214,02,02,제주특별자치도 제주시 애월읍 애월해안로 554-16,33.476824,126.362528,20220624080007,20220623204205,20220624075130,20220623204205,,,50,,,Y,2,2
2163,르시엘아파트,JE010214,03,02,제주특별자치도 제주시 애월읍 애월해안로 554-16,33.476824,126.362528,20220623220002,20220623162459,20220623215654,20220623162459,,,50,,,Y,2,2
2164,JDS빌리지,JE010215,01,02,제주특별자치도 제주시 곱은이길 14,33.477435,126.452457,20220621190901,20220619180604,20220620072115,20220619180604,,,50,,,Y,3,3
2165,연동해든빌,JE010216,01,02,제주특별자치도 제주시 도령로13길 2,33.491841,126.489076,20220624083602,20220623202017,20220624083343,20220623202017,,,50,,,Y,2,2
2166,연동해든빌,JE010216,02,02,제주특별자치도 제주시 도령로13길 2,33.491841,126.489076,20220625164801,20220623082653,20220623124626,20220623082653,,,50,,,Y,3,3
2167,오션패밀리호텔,JE010217,01,02,제주특별자치도 제주시 일주서로 7531,33.495268,126.450961,20220623011803,20220619230145,20220620011733,20220619230145,,,50,,,Y,2,2
2168,오션패밀리호텔,JE010217,02,02,제주특별자치도 제주시 일주서로 7531,33.495268,126.450961,20220621103907,20220620205823,20220621091430,20220620205823,,,50,,,Y,2,2
2169,(주)한강산업,JE010218,01,02,제주특별자치도 제주시 애월읍 신엄8길 21,33.469459,126.368264,20220624073002,20220623215343,20220624072934,20220623215343,,,50,,,Y,2,2
2170,꺼멍연탄구이,JE010219,01,02,제주특별자치도 제주시 한경면 명이5길 4,33.317867,126.270113,20220623102401,20220623093604,20220623102104,20220623093604,,,50,,,Y,2,2
2171,태랑식당,JE010220,01,02,제주특별자치도 제주시 테우해안로 136,33.497633,126.448402,20220626000313,20220623122244,20220623133638,20220623122244,,,50,,,Y,2,2
2172,노형중학교,JE010221,01,02,제주특별자치도 제주시 노형1길 28,33.479570,126.475884,20220625164801,20220625121925,20220625164738,20220625121925,,,50,,,Y,2,2
2173,노형중학교,JE010221,02,02,제주특별자치도 제주시 노형1길 28,33.479570,126.475884,20220625193901,20220625161615,20220625193724,20220625161615,,,50,,,Y,2,2
2174,탐라유공압,JE010222,01,02,제주특별자치도 제주시 애월읍 평화로 2558,33.436191,126.424214,20220625124501,20220625095255,20220625123922,20220625095255,,,50,,,Y,2,2
2175,일도신천지아파트1차,JE010223,01,02,제주특별자치도 제주시 천수로 72,33.505450,126.544389,20220625213901,20220625132129,20220625203852,20220625132129,,,50,,,Y,3,3
2176,일도신천지아파트1차,JE010223,02,02,제주특별자치도 제주시 천수로 72,33.505450,126.544389,20220624234201,20220624195758,20220624225252,20220624195758,,,50,,,Y,3,3
2177,일도신천지아파트1차,JE010223,03,02,제주특별자치도 제주시 천수로 72,33.505450,126.544389,20220625162701,20220625043624,20220625153835,20220625043624,,,50,,,Y,3,3
2178,일도신천지아파트1차,JE010223,04,02,제주특별자치도 제주시 천수로 72,33.505450,126.544389,20220625174501,20220625082610,20220625094705,20220625082610,,,50,,,Y,3,3
2179,영주고등학교,JE010224,01,02,제주특별자치도 제주시 첨단동길 92,33.455036,126.579752,20220624001201,20220622092940,20220622170057,20220622092940,,,50,,,Y,2,2
2180,영주고등학교,JE010224,02,02,제주특별자치도 제주시 첨단동길 92,33.455036,126.579752,20220621103906,20220620083607,20220620115724,20220620083607,,,50,,,Y,2,2
2181,그린장례식장,JE010225,01,02,제주특별자치도 제주시 조천읍 함덕남2길 19-10,33.536144,126.662690,20220625042702,20220530153234,20220530173730,20220530153234,,,50,,,Y,2,2
2182,예그린오피스텔,JE010226,01,02,제주특별자치도 제주시 삼무로 9,33.490205,126.487855,20220623193301,,,20220104111051,,,50,,,Y,2,2
