,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
480,남해실내체육관,04,경상남도 남해군 남해읍 화전로43번길 16,34.83355,127.8942124,200,동시,48,,,Y,2,2
481,중현힐링센터,04,경상남도 남해군 서면 남서대로 2645,34.8746487,127.8284182,200,동시,48,,,Y,2,2
482,중현힐링센터,04,경상남도 남해군 서면 남서대로 2645,34.8746487,127.8284182,200,동시,48,,,Y,2,2
483,문화예술회관 주차장,04,경상남도 사천시 동림동 200,34.9412753,128.0753973,200,동시,48,,,Y,2,2
484,문화예술회관 주차장,04,경상남도 사천시 동림동 200,34.9412753,128.0753973,200,동시,48,,,Y,2,2
485,국민연금공단 사천남해지사,04,경상남도 사천시 용현면 대밭담로 13,35.0083953,128.0605416,200,동시,48,,,Y,2,2
486,국민연금공단 사천남해지사,04,경상남도 사천시 용현면 대밭담로 13,35.0083953,128.0605416,200,동시,48,,,Y,2,2
487,삼천포유람선 관광종합지원시설,04,경상남도 사천시 대방동 765-3,34.9287627,128.06310270,200,동시,48,,,Y,2,2
488,삼천포유람선 관광종합지원시설,04,경상남도 사천시 대방동 765-3,34.9287627,128.06310270,200,동시,48,,,Y,2,2
489,산청농업기술센터,04,경상남도 산청군 산청읍 물안실로8,35.4054609,127.9008281,200,동시,48,,,Y,2,2
490,산청농업기술센터,04,경상남도 산청군 산청읍 물안실로8,35.4054609,127.9008281,200,동시,48,,,Y,2,2
491,금서면(온누리관),04,경상남도 산청군 금서면 매촌리 710-4,35.4174440,127.8628701,200,동시,48,,,Y,2,2
492,금서면(온누리관),04,경상남도 산청군 금서면 매촌리 710-4,35.4174440,127.8628701,200,동시,48,,,Y,2,2
493,한국도로공사 산청지사,04,경상남도 산청군 친환경로 2593-43,35.4216175,127.8685360,200,동시,48,,,Y,2,2
494,한국도로공사 산청지사,04,경상남도 산청군 친환경로 2593-43,35.4216175,127.8685360,200,동시,48,,,Y,3,3
495,지리산국립공원 경남사무소,04,경상남도 산청군 시천면 남명로 376,35.2700176,127.8533788,200,동시,48,,,Y,2,2
496,지리산국립공원 경남사무소,04,경상남도 산청군 시천면 남명로 376,35.2700176,127.8533788,200,동시,48,,,Y,2,2
497,덕계동 제1공영주차장,04,경상남도 양산시 덕계동 989,35.3749599,129.1508988,100,단독,48,,,N,2,2
498,덕계동 제1공영주차장,04,경상남도 양산시 덕계동 989,35.3749599,129.1508988,100,단독,48,,,N,2,2
499,한국도로공사 양산지사,04,경상남도 양산시 동면 양산대로 542-45,35.3225047,129.0320021,100,단독,48,,,Y,9,9
500,한국도로공사 양산지사,04,경상남도 양산시 동면 양산대로 542-45,35.3225047,129.0320021,100,단독,48,,,Y,2,2
501,금곡면사무소,04,경상남도 진주시 금곡면 월아산로 140,35.0941845,128.1880206,200,동시,48,,,Y,2,2
502,금곡면사무소,04,경상남도 진주시 금곡면 월아산로 140,35.0941845,128.1880206,200,동시,48,,,Y,2,2
503,바이오산업진흥원,04,경상남도 진주시 문산읍 월아산로 991,35.1609239,128.1630138,200,동시,48,,,Y,2,2
504,바이오산업진흥원,04,경상남도 진주시 문산읍 월아산로 991,35.1609239,128.1630138,200,동시,48,,,Y,2,2
505,진주시청 주차장,04,경상남도 진주시 동진로 155,35.18024326,128.10882283,200,동시,48,,,Y,2,2
506,진주시청 주차장,04,경상남도 진주시 동진로 155,35.18024326,128.10882283,200,동시,48,,,Y,2,2
507,경상남도 산림환경연구원,04,null,35.1622299,128.2974872,100,단독,48,,,Y,2,2
508,경상남도 산림환경연구원,04,null,35.1622299,128.2974872,100,단독,48,,,Y,2,2
509,한국도로공사 창녕지사,04,경상남도 창녕군 창녕읍 우포유어농로 684,35.53673900,128.47920660,200,동시,48,,,Y,2,2
510,한국도로공사 창녕지사,04,경상남도 창녕군 창녕읍 우포유어농로 684,35.53673900,128.47920660,200,동시,48,,,Y,2,2
511,국립생태원 습지센터,04,경상남도 창녕군 이방면 이산길 38,35.5339285,128.3842828,200,동시,48,,,Y,2,2
512,국립생태원 습지센터,04,경상남도 창녕군 이방면 이산길 38,35.5339285,128.3842828,200,동시,48,,,Y,9,9
513,삼진체육시설,04,경상남도 창원시 진동면 삼진의거대로 440,35.11378409,128.47126828,200,동시,48,,,Y,2,2
514,삼진체육시설,04,경상남도 창원시 진동면 삼진의거대로 440,35.11378409,128.47126828,200,동시,48,,,Y,2,2
515,진해구청,04,경상남도 창원시 진해대로 1101,35.1323194,128.7092482,200,동시,48,,,Y,2,2
516,진해구청,04,경상남도 창원시 진해대로 1101,35.1323194,128.7092482,200,동시,48,,,Y,2,2
517,팔용농산물도매시장,04,경상남도 창원시 의창구 차상로18번길 45,35.2287951,128.6372843,100,단독,48,,,Y,9,9
518,팔용농산물도매시장,04,경상남도 창원시 의창구 차상로18번길 45,35.2287951,128.6372843,100,단독,48,,,Y,2,2
